Match_Type,Eroski_ID,Eroski_Denomination,Makro_ID,Makro_Denomination,Similarity_Distance,Error_Type
True Positive,1743533,"Brotes de germinados EROSKI, frasco 180 g",210500,METRO Chef brotes soja germin frasco 1000gne (1850 g),0.43215256929397583,
True Positive,21815469,"Polvo para hornear impulsor gasificante ROYAL, caja 80 g",178172,Royal levadura 10 g contiene 5 sobres (total 80 g),0.43253815174102783,
True Positive,15212103,"Salsa picante chipotle TABASCO, frasco 60 g",119317,TABASCO salsa chipotle botella 60 ml,0.43598341941833496,
True Positive,17467945,"Salsa de mostaza con miel SALSAS ASTURIANAS, frasco 210 g",109677,Salsas Asturianas salsa de mostaza y miel pet 1kg,0.43770360946655273,
True Positive,16359051,"Cacahuete jumbo tostado con cáscara SERVIHOSTEL, bolsa 5 kg",78692,METRO Chef cacahuete con cáscara tostado bolsa 3 kg,0.4379727840423584,
True Positive,25970203,"Caballa del sur en aceite de oliva UBAGO, frasco 150 g",102579,Ubago filete caballa del sur aceite de oliva lata 85 gne contiene 5 unidades (115 g),0.4382719397544861,
True Positive,19621325,"Leche entera sin lactosa ASTURIANA, brik 1 litro",192573,Central Lechera Asturiana leche entera sin lactosa 1 L contiene 6 unidades,0.4395580291748047,
True Positive,1167014,"Mazorca de maíz EROSKI, bolsa 450 g",213046,METRO Chef maiz cocido bolsa 900 g,0.4415470361709595,
True Positive,12080859,"Ensalada Gourmet Maxi EROSKI, bolsa 320 g",7173,makro Chef Ensalada gourmet bolsa 500g,0.4509596824645996,
True Positive,316018,"Tomate natural entero pelado EROSKI, lata 780 g",872794,METRO Chef tomate natural pelado lata 2700gne (4000 g),0.4543036222457886,
True Positive,24246191,"Medallones solomillo de vaca al vacío skin, bandeja aprox. 400 g",178107,Medallón de solomillo de vaca bandeja 10udx200g precio kg,0.4550807774066925,
True Positive,11736717,"Arroz redondo SOS, bolsa 2 kg",213813,SOS arroz redondo bolsa 5kg,0.4627714157104492,
True Positive,26015693,"Caballa del sur en aceite de girasol EROSKI, lata 85 g",215036,METRO Chef filetes de caballa en aceite de girasol lata 620 gne (950 g),0.4649088382720947,
True Positive,25474149,"Yogur griego sabor lima/limón DANONE, pack 4x110 g",6238,DANONe yogur sabor limón 120 g contiene 4 unidades  (total 480 g),0.4685777425765991,
True Positive,17736935,"Cacitos de carne KNORR, pack 4x28 g",280722,Knorr Professional doble caldo de carne en polvo 900g,0.46878159046173096,
True Positive,24918120,"Manzana Golden, bolsa 1,5 kg",933933,Manzana golden calibre 65/75 bolsa 2kg .,0.4697642922401428,
True Positive,24928152,"Pechuga de pavo EROSKI, pack 2x200 g",210393,METRO Chef pechuga de pavo lonchas 3x150 gr,0.4740684926509857,
