Match_Type,Eroski_ID,Eroski_Denomination,Makro_ID,Makro_Denomination,Similarity_Distance,Error_Type
,5107651,"Ron 7 años MATUSALEN , botella 70 cl",34561,N/A,0.18074733018875122,False Positive
,23087570,"Cacao instantáneo original PALADIN, sobre 340 g",64582,N/A,0.1811186969280243,False Positive
,13279468,"Ron Añejo BRUGAL, botella 1 litro",159757,N/A,0.18256784975528717,False Positive
,308353,"Piparra ZUBIA, frasco 125 g",160834,N/A,0.18258091807365417,False Positive
,791392,"Chorizo picante PALACIOS, sarta 250 g",108212,N/A,0.18431642651557922,False Positive
,17766445,"Mermelada de arándanos LA VIEJA FABRICA C. Selecta, frasco 285 g ",119308,N/A,0.1859683096408844,False Positive
,25062522,"Tónica de limón SCHWEPPES, lata 33 cl",212211,N/A,0.18613404035568237,False Positive
,22214308,"Vino Tinto Merlot Tierra VIÑA ALBALI, botella 75 cl",686296,N/A,0.1865522563457489,False Positive
,25013442,"Helado sabor naranja en su cáscara NORDWIK, 1 ud, 90 g",221514,N/A,0.18708844482898712,False Positive
,24079667,"Tónica Ginger Beer SCHWEPPES, botellín 20 cl",206594,N/A,0.1873146891593933,False Positive
,24284531,"Ginebra Sapphire BOMBAY, botella 1 litro",479661,N/A,0.19212257862091064,False Positive
,24915365,"Tequila reposado ESPOLON, botella 70 cl",221834,N/A,0.19730158150196075,False Positive
,15106552,"Activia 0% natural edulcorado DANONE, pack 8x120 g",217248,N/A,0.19756841659545898,False Positive
,25519778,"Cerveza Oro 0,0 AMSTEL pack 6, botellas 25 cl",221576,N/A,0.20152127742767334,False Positive
,21678495,"Whisky XV CHIVAS, botella 70 cl",75504,N/A,0.2020779848098755,False Positive
,20952495,"Espárragos 1ª 4/6 piezas VIUDA DE CAYO, lata 220 g",146854,N/A,0.20312288403511047,False Positive
,1509900,"Tequila Especial JOSE CUERVO, botella 70 cl",221772,N/A,0.20364528894424438,False Positive
,8409344,"Bífidus natural ACTIVIA, pack 8x120 g",217246,N/A,0.20524191856384277,False Positive
,649871,"Vino Tinto Joven D.O. Rioja ARABARTE, botella 75 cl",89499,N/A,0.20630383491516113,False Positive
,24348633,"Whisky 15 años DEWAR`S, botella 70 cl",88406,N/A,0.20792824029922485,False Positive
